Area,Perimeter,Compactness,Length of kernel,Width of kernel,Asymmetry coefficient,Length of kernel groove,Wheat Type
16.23,15.18,0.885,5.872,3.472,3.769,5.395,Rosa
16.41,15.25,0.8866,5.718,3.525,4.217,5.618,Rosa
16.77,15.62,0.8638,5.927,3.438,4.92,5.795,Rosa
16.82,15.51,0.8786,6.017,3.486,4.004,5.841,Rosa
16.84,15.67,0.8623,5.998,3.484,4.675,5.877,Rosa
16.87,15.65,0.8648,6.139,3.463,3.696,5.967,Rosa
17.12,15.55,0.8892,5.85,3.566,2.858,5.746,Rosa
17.26,15.73,0.8763,5.978,3.594,4.539,5.791,Rosa
17.32,15.91,0.8599,6.064,3.403,3.824,5.922,Rosa
17.36,15.76,0.8785,6.145,3.574,3.526,5.879,Rosa
17.63,15.86,0.88,6.033,3.573,3.747,5.929,Rosa
17.98,15.85,0.8993,5.979,3.687,2.257,5.919,Rosa
17.99,15.86,0.8992,5.89,3.694,2.068,5.837,Rosa
18.45,16.12,0.8921,6.107,3.769,2.235,5.794,Rosa
18.75,16.18,0.8999,6.111,3.869,4.188,5.992,Rosa
18.83,16.29,0.8917,6.037,3.786,2.553,5.879,Rosa
18.94,16.32,0.8942,6.144,3.825,2.908,5.949,Rosa
19.38,16.72,0.8716,6.303,3.791,3.678,5.965,Rosa
15.99,14.89,0.9064,5.363,3.582,3.336,5.144,Rosa
18.3,15.89,0.9108,5.979,3.755,2.837,5.962,Rosa
18.43,15.97,0.9077,5.98,3.771,2.984,5.905,Rosa
18.89,16.23,0.9008,6.227,3.769,3.639,5.966,Rosa
18.96,16.2,0.9077,6.051,3.897,4.334,5.75,Rosa
19.13,16.31,0.9035,6.183,3.902,2.109,5.924,Rosa
17.55,15.66,0.8991,5.791,3.69,5.366,5.661,Rosa
18.72,16.19,0.8977,6.006,3.857,5.324,5.879,Rosa
10.59,12.41,0.8648,4.899,2.787,4.975,4.794,Canadian
10.8,12.57,0.859,4.981,2.821,4.773,5.063,Canadian
11.18,12.72,0.868,5.009,2.81,4.051,4.828,Canadian
11.23,12.88,0.8511,5.14,2.795,4.325,5.003,Canadian
11.27,12.97,0.8419,5.088,2.763,4.309,5,Canadian
11.27,12.86,0.8563,5.091,2.804,3.985,5.001,Canadian
11.34,12.87,0.8596,5.053,2.849,3.347,5.22,Canadian
11.41,12.95,0.856,5.09,2.775,4.957,4.825,Canadian
11.84,13.21,0.8521,5.175,2.836,3.598,5.044,Canadian
11.87,13.02,0.8795,5.132,2.953,3.597,5.132,Canadian
12.02,13.33,0.8503,5.35,2.81,4.271,5.046,Canadian
12.05,13.41,0.8416,5.267,2.847,4.988,5.176,Canadian
12.1,13.15,0.8793,5.105,2.941,2.201,5.27,Canadian
12.11,13.27,0.8639,5.236,2.975,4.132,5.012,Canadian
12.15,13.45,0.8443,5.417,2.837,3.638,5.132,Canadian
12.19,13.2,0.8783,5.137,2.981,3.631,4.87,Canadian
12.19,13.36,0.8579,5.24,2.909,4.857,5.158,Canadian
12.37,13.47,0.8567,5.204,2.96,3.919,5.001,Canadian
12.44,13.59,0.8462,5.319,2.897,4.924,5.338,Canadian
12.46,13.41,0.8706,5.236,3.017,4.987,5.147,Canadian
12.49,13.46,0.8658,5.267,2.967,4.421,5.316,Canadian
12.54,13.67,0.8425,5.451,2.879,3.082,5.308,Canadian
12.55,13.57,0.8558,5.333,2.968,4.419,5.049,Canadian
12.62,13.67,0.8481,5.41,2.911,3.306,5.231,Canadian
12.67,13.32,0.8977,4.984,3.135,2.3,4.745,Canadian
12.7,13.71,0.8491,5.386,2.911,3.26,5.194,Canadian
12.76,13.38,0.8964,5.073,3.155,2.828,4.83,Canadian
12.8,13.47,0.886,5.16,3.126,4.873,4.914,Canadian
13.37,13.78,0.8849,5.32,3.128,4.67,5.091,Canadian
10.74,12.73,0.8329,5.145,2.642,4.702,4.963,Canadian
10.82,12.83,0.8256,5.18,2.63,4.853,5.089,Canadian
10.91,12.8,0.8372,5.088,2.675,4.179,4.956,Canadian
11.02,13,0.8189,5.325,2.701,4.956,5.163,Canadian
11.18,13.04,0.8266,5.22,2.693,3.332,5.263,Canadian
11.36,13.05,0.8382,5.175,2.755,4.048,5.219,Canadian
11.43,13.13,0.8335,5.176,2.719,2.221,5.002,Canadian
11.56,13.31,0.8198,5.363,2.683,4.062,5.182,Canadian
11.75,13.52,0.8082,5.444,2.678,4.378,5.31,Canadian
11.81,13.45,0.8198,5.413,2.716,4.898,5.352,Canadian
11.82,13.4,0.8274,5.314,2.777,4.471,5.275,Canadian
12.13,13.73,0.8081,5.394,2.745,4.825,5.31,Canadian
12.26,13.6,0.8333,5.408,2.833,4.756,5.001,Canadian
10.79,12.93,0.8107,5.317,2.648,5.462,5.307,Canadian
